id,player1_id,player2_id,winner_id,battle_date,battle_datetime,battle_timestamp
1,61,49,61.0,2024-10-03,2024-10-03 17:35:25,1727976925
2,71,23,23.0,2024-10-19,2024-10-19 13:41:56,1729345316
3,59,85,59.0,2024-10-18,2024-10-18 19:21:58,1729279318
4,73,65,65.0,2024-10-04,2024-10-04 18:04:58,1728065098
5,53,65,65.0,2024-10-29,2024-10-29 16:53:23,1730220803
6,55,70,55.0,2024-10-08,2024-10-08 16:26:49,1728404809
7,26,10,26.0,2024-10-06,2024-10-06 00:06:14,1728173174
8,76,56,76.0,2024-10-20,2024-10-20 21:40:34,1729460434
9,22,77,77.0,2024-10-26,2024-10-26 12:42:30,1729946550
10,55,66,66.0,2024-10-21,2024-10-21 03:17:48,1729480668
11,41,43,,2024-10-05,2024-10-05 13:40:56,1728135656
12,9,34,34.0,2024-10-19,2024-10-19 20:35:00,1729370100
13,86,61,61.0,2024-10-17,2024-10-17 18:14:53,1729188893
14,12,85,85.0,2024-10-08,2024-10-08 01:25:03,1728350703
15,83,90,90.0,2024-10-17,2024-10-17 12:39:58,1729168798
16,27,42,42.0,2024-10-03,2024-10-03 00:24:04,1727915044
17,75,74,75.0,2024-10-25,2024-10-25 04:46:33,1729831593
18,53,12,12.0,2024-10-12,2024-10-12 12:50:51,1728737451
19,13,70,13.0,2024-10-09,2024-10-09 20:09:33,1728504573
20,16,43,43.0,2024-10-09,2024-10-09 01:12:23,1728436343
21,64,21,64.0,2024-10-03,2024-10-03 11:08:14,1727953694
22,50,55,55.0,2024-10-09,2024-10-09 10:32:00,1728469920
23,8,9,,2024-10-28,2024-10-28 11:49:11,1730116151
24,19,14,14.0,2024-10-09,2024-10-09 22:49:31,1728514171
25,53,79,53.0,2024-10-09,2024-10-09 16:57:47,1728493067
26,29,70,70.0,2024-10-09,2024-10-09 01:09:24,1728436164
27,24,79,24.0,2024-10-21,2024-10-21 14:09:06,1729519746
28,42,89,89.0,2024-10-25,2024-10-25 11:32:26,1729855946
29,33,36,36.0,2024-10-25,2024-10-25 23:50:50,1729900250
30,21,12,12.0,2024-10-07,2024-10-07 20:19:42,1728332382
31,12,3,12.0,2024-10-05,2024-10-05 18:20:02,1728152402
32,21,13,21.0,2024-10-22,2024-10-22 22:46:30,1729637190
33,29,18,,2024-10-10,2024-10-10 15:15:48,1728573348
34,54,43,43.0,2024-10-10,2024-10-10 18:26:45,1728584805
35,64,53,53.0,2024-10-17,2024-10-17 12:02:07,1729166527
36,85,46,85.0,2024-10-26,2024-10-26 04:20:53,1729916453
37,29,86,86.0,2024-10-04,2024-10-04 13:04:01,1728047041
38,29,36,,2024-10-28,2024-10-28 12:31:59,1730118719
39,1,51,1.0,2024-10-24,2024-10-24 05:48:56,1729748936
40,6,44,6.0,2024-10-17,2024-10-17 04:25:18,1729139118
41,5,60,5.0,2024-10-23,2024-10-23 11:07:50,1729681670
42,32,49,49.0,2024-10-16,2024-10-16 12:20:41,1729081241
43,42,1,1.0,2024-10-12,2024-10-12 08:33:00,1728721980
44,74,83,83.0,2024-10-04,2024-10-04 23:13:57,1728083637
45,12,7,7.0,2024-10-12,2024-10-12 02:31:44,1728700304
46,21,86,86.0,2024-10-18,2024-10-18 05:34:46,1729229686
